,Date,AAPL,AAXN,BAC,JPM,MA,MSFT,NFLX,SCI,V
313,2017-03-30,137.76023864746094,23.219999313354492,22.486494064331055,81.13005828857422,110.52996826171875,62.46732711791992,148.05999755859375,29.10379981994629,87.27920532226562
314,2017-03-31,137.50184631347656,22.790000915527344,22.22272300720215,80.045654296875,110.33378601074219,62.609928131103516,147.80999755859375,29.379709243774414,87.14192962646484
315,2017-04-03,137.54014587402344,22.5,22.22272300720215,79.75404357910156,110.10814666748047,62.31522750854492,146.9199981689453,29.227481842041016,87.62239837646484
316,2017-04-04,138.5642547607422,22.0,22.081417083740234,80.01982879638672,109.96099853515625,62.48634719848633,145.5,28.88497543334961,87.05368041992188
317,2017-04-05,137.8463897705078,21.899999618530273,21.827070236206055,79.44832611083984,110.15757751464844,62.32473373413086,143.6199951171875,28.78032112121582,87.29882049560547
318,2017-04-06,137.50184631347656,23.079999923706055,21.91185188293457,79.71564483642578,110.51143646240234,62.48634719848633,143.74000549316406,29.094287872314453,87.35765075683594
319,2017-04-07,137.195556640625,23.270000457763672,21.817646026611328,79.43909454345703,110.32467651367188,62.43880844116211,143.11000061035156,29.046714782714844,87.01444244384766
320,2017-04-10,137.0328369140625,23.270000457763672,21.685762405395508,79.16255187988281,110.4033203125,62.29619216918945,143.85000610351562,29.1608829498291,87.13211822509766
321,2017-04-11,135.55886840820312,23.18000030517578,21.591554641723633,79.02429962158203,110.19690704345703,62.24867630004883,144.35000610351562,29.54144859313965,87.12230682373047
322,2017-04-12,135.72154235839844,22.420000076293945,21.337207794189453,78.7201156616211,109.56781005859375,62.01101303100586,143.8300018310547,29.265541076660156,86.95561218261719
323,2017-04-13,135.00372314453125,22.040000915527344,21.045175552368164,77.79834747314453,109.32207489013672,61.74482727050781,142.9199981689453,29.094287872314453,87.14192962646484
324,2017-04-17,135.75027465820312,22.079999923706055,21.487930297851562,79.14412689208984,110.74734497070312,62.24867630004883,147.25,29.493881225585938,88.06365203857422
325,2017-04-18,135.14730834960938,22.5,21.39372444152832,78.49889373779297,110.59988403320312,62.163124084472656,143.36000061035156,29.665136337280273,87.98519897460938
326,2017-04-19,134.64956665039062,22.729999542236328,21.421987533569336,77.85363006591797,110.37383270263672,61.830387115478516,139.75999450683594,29.579505920410156,88.00481414794922
327,2017-04-20,136.33413696289062,23.299999237060547,21.73286247253418,78.85838317871094,112.63457489013672,62.267696380615234,141.17999267578125,29.855417251586914,89.3775863647461
328,2017-04-21,136.1714324951172,23.690000534057617,21.39372444152832,77.90894317626953,112.32003784179688,63.12328338623047,142.8699951171875,29.807846069335938,89.3775863647461
329,2017-04-24,137.48269653320312,24.020000457763672,22.26040267944336,80.65585327148438,113.72563171386719,64.197509765625,143.8300018310547,30.20744514465332,90.0639877319336
330,2017-04-25,138.3345489501953,24.170000076293945,22.590120315551758,81.35641479492188,114.1482925415039,64.56828308105469,152.16000366210938,30.131328582763672,90.31893157958984
